,Customer Name,Age,Name of Industry,Job title,Annual salary,Work experience,Gender,State,Category,Sub-Category,Product Name,Sales
15,Matt Abelman,18-24,Academic/nonprofit research,Database Specialist,37440,1 year or less,Woman,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.5439999999999996
16,Gene Hale,35-44,accessibility,freelance captioner,4000,11 - 20 years,Woman,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
17,Steve Nguyen,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,2 - 4 years,Man,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
18,Linda Cazamias,25-34,Administration,Administrative Assistant ,40000,5-7 years,Man,California,Office Supplies,Art,Newell 341,8.56
19,Ruben Ausman,25-34,Administration ,Admin. Assistant ,30000,11 - 20 years,Woman,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48000000000002
20,Erin Smith,35-44,Administration (food service),Admin,29120,11 - 20 years,Woman,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
21,Odella Nelson,25-34,Administration in MLM,Director,42000,8 - 10 years,Man,Nebraska,Office Supplies,Art,Newell 318,19.459999999999997
22,Patrick O'Donnell,25-34,Administrative ,Office manager ,35360,8 - 10 years,Man,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.339999999999996
23,Lena Hernandez,35-44,Administrative Support,Executive Assistant,67558,11 - 20 years,Woman,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999
24,Darren Powers,25-34,Administrative Work,Administrative Specialist,51000,8 - 10 years,Woman,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.6299999999999
25,Janet Molinari,35-44,Aerospace,Customer Data Management,66000,11 - 20 years,Woman,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648000000000001
26,Ted Butterfield,25-34,Aerospace ,Communications Specialist,107000,8 - 10 years,Woman,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57000000000001
27,Kunst Miller,35-44,Aerospace & Defense,Category Manager,128000,11 - 20 years,Woman,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.4300000000003
28,Paul Stevenson,25-34,Aerospace and Defense,Customs Services Lead,98000,11 - 20 years,Woman,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618000000000002
29,Brendan Sweed,35-44,Aerospace and Defense Manufacturing,Solutions Control Specialist (Chemist)/Wastewater Pretreatment Facility Chief Operator,60000,21 - 30 years,Woman,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20000000000002
30,Karen Daniels,25-34,Aerospace and Defense/Government Contracting,HR Generalist,52000,5-7 years,Woman,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.2640000000000002
31,Henry MacAllister,35-44,Aerospace contracting,Project engineer ,122000,11 - 20 years,Man,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
32,Joel Eaton,25-34,aerospace data,Geospatial Analyst,57000,5-7 years,Woman,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858000000000001
33,Ken Brennan,45-54,Aerospace Manufacturing,Information Security Analyst,154500,21 - 30 years,Woman,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76
34,Stewart Carmichael,35-44,Aerospace/Aviation ,Talent Development Manager,90000,8 - 10 years,Man,Texas,Office Supplies,Paper,Easy-staple paper,29.472
35,Duane Noonan,25-34,Aerospace/Defense,Compensation Analyst,68800,2 - 4 years,Woman,Texas,Technology,Phones,GE 30524EE4,1097.5440000000003
36,Julie Creighton,35-44,Affordable Housing Real Estate Development (nonprofit),Senior Project Manager,144200,11 - 20 years,Woman,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
37,Christopher Schild,18-24,Agriculture or Forestry,Engineering Student Trainee,29000,1 year or less,Woman,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
38,Paul Gonzalez,35-44,Agriculture/Agriculture Chemical ,Senior Financial Analyst ,91112,8 - 10 years,Woman,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
39,Gary Mitchum,25-34,Airline,Training Program Lead,80000,11 - 20 years,Woman,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
40,Jim Sink,25-34,AmeriCorps,Americorps Member,15400,5-7 years,Woman,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
41,Karl Braun,55-64,Analytical Chemistry,Chemist IV,56000,31 - 40 years,Woman,Illinois,Technology,Phones,Panasonic Kx-TS550,147.168
42,Roger Barcio,25-34,Analytical lab,Shipping and sample prep,30368,8 - 10 years,Woman,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
43,Parhena Norris,55-64,Analytics,Director,162000,21 - 30 years,Woman,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
44,Katherine Ducich,35-44,Animal Care,Animal keeper,32000,21 - 30 years,Woman,Minnesota,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
45,Elpida Rittenbach,25-34,Animal Caretaker,Sole propieter of my pet care company,72800,11 - 20 years,Woman,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
46,Rick Bensley,25-34,Animal Health,QC Chemist,72000,11 - 20 years,Woman,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
47,Gary Zandusky,45-54,Animal health industry,Sr. Key Account Manager,127000,21 - 30 years,Man,Delaware,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
48,Lena Cacioppo,35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,11 - 20 years,Woman,Delaware,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
49,Janet Martin,35-44,Animal welfare,animal control officer,82908,11 - 20 years,Woman,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
50,Pete Armstrong,45-54,Apparel,Technical Designer,60000,11 - 20 years,Woman,Indiana,Office Supplies,Labels,Avery 485,75.17999999999999
51,Cynthia Voltz,35-44,Apparel ,Development Manager ,125000,8 - 10 years,Woman,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
52,Clay Ludtke,35-44,apparel design/product development ,Apparel Technical Designer,52000,5-7 years,Woman,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
53,Ryan Crowe,65 or over,Apparel manufacture,EDI Manager,66000,41 years or more,Woman,New York,Office Supplies,Fasteners,Advantus Push Pins,15.260000000000002
54,Dave Kipp,35-44,Archaeology,Senior Project Archaeologist,55000,11 - 20 years,Woman,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
55,Greg Guthrie,35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,11 - 20 years,Woman,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56
56,Steven Cartwright,35-44,Archaeology/Cultural Resource Manager,Principal Investigator,110000,11 - 20 years,Woman,New York,Office Supplies,Paper,Xerox 232,32.400000000000006
57,Alan Dominguez,35-44,Architect,Project Manager/Architect,94500,11 - 20 years,Woman,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41
58,Philip Fox,35-44,Architect ,Architect,96000,11 - 20 years,Woman,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
59,Troy Staebel,45-54,Architectural/Land Planning/Civil Engineering,Office Manager/Bookkeeper/HR,53500,21 - 30 years,Man,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
60,Lindsay Shagiari,35-44,Architecture,Project Architect,58000,11 - 20 years,Woman,New York,Office Supplies,Binders,Plastic Binding Combs,48.480000000000004
61,Dorothy Wardle,25-34,Architecture ,Marketing Coordinator,54000,8 - 10 years,Woman,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
62,Lena Creighton,45-54,Architecture & Construction,Project Manager,75000,21 - 30 years,Woman,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
63,Jonathan Doherty,45-54,Architecture / Engineering,Office Manager,62860,21 - 30 years,Woman,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
64,Sally Hughsby,45-54,Architecture and engineering consulting and design ,Technical editor,101000,21 - 30 years,Woman,California,Office Supplies,Paper,Xerox 1943,146.73
65,Sandra Glassco,45-54,"Architecture, Engineering, Construction",Director Of Technology,150000,11 - 20 years,Woman,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
66,Helen Andreada,25-34,Architecture/Construction,Senior Associate,77400,5-7 years,Woman,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.11499999999998
67,Maureen Gastineau,25-34,Archives,Archivist,65000,8 - 10 years,Woman,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.0240000000001
68,Justin Ellison,25-34,Archives ,Senior Archivist ,67000,8 - 10 years,Man,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.96800000000002
69,Tamara Willingham,25-34,Archives/Libraries,Archivist and Records Manager,62271,5-7 years,Woman,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
70,Stephanie Phelps,35-44,Archives/Library Science,Archivist,52500,5-7 years,Woman,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
71,Neil Knudson,45-54,Art & Design,graphic designer,59000,21 - 30 years,Man,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.049999999999997
72,Dave Brooks,25-34,art appraisal,research assistant,39000,8 - 10 years,Woman,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,831.9360000000001
73,Nora Paige,35-44,Arts Administration ,Director of Operations,61000,11 - 20 years,Woman,Tennessee,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
74,Ted Trevino,25-34,Association,Senior Government Relations Coordinator,67000,2 - 4 years,Woman,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
75,Eric Murdock,25-34,association management,Manager of Membership Engagement,68000,8 - 10 years,Man,Texas,Office Supplies,Binders,Economy Binders,1.2479999999999998
76,Ruben Dartt,25-34,Association Management ,Administration ,49000,5-7 years,Woman,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
77,Max Jones,25-34,Auction House,Cataloguer,20000,1 year or less,Woman,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.240000000000002
78,Becky Martin,35-44,Auto Mfg.,Manager,104000,21 - 30 years,Woman,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
79,Chad Sievert,25-34,auto repair,office manager,56000,8 - 10 years,Woman,Alabama,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
80,Jennifer Braxton,45-54,Automotive,Managing Director (Advanced Technology),229500,21 - 30 years,Woman,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002
81,Shirley Jackson,25-34,Automotive ,Program manager,97000,11 - 20 years,Woman,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
82,Jim Kriz,35-44,Automotive finance and insurance,Marketing communications manager,87500,11 - 20 years,Woman,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
83,David Kendrick,35-44,Automotive repair,Service Coordinator ,31200,11 - 20 years,Man,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98400000000004
84,Robert Marley,35-44,Automotive technician,Automotive technician,49000,21 - 30 years,Man,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
85,Sally Knutson,45-54,Automtive Repair,Parts Manager,50000,31 - 40 years,Woman,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
86,Frank Merwin,35-44,Aviation,ramp agent,28700,8 - 10 years,Woman,Minnesota,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
87,Alice McCarthy,35-44,awards and engraving,Engraver,35000,21 - 30 years,Woman,Minnesota,Office Supplies,Labels,Avery 511,6.16
88,Mark Packer,45-54,B2B Services ,Business Systems Manager ,115000,21 - 30 years,Woman,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.36800000000002
89,Mary Zewe,35-44,Background Screening,Senior Manager,69000,11 - 20 years,Woman,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
90,Cassandra Brandow,25-34,Beauty,Marketing Operations,62400,2 - 4 years,Woman,California,Technology,Phones,Panasonic Kx-TS550,73.584
91,Valerie Mitchum,35-44,Beauty /CPG ,Finance Director ,131000,8 - 10 years,Woman,California,Office Supplies,Paper,Xerox 1995,6.48
92,Fred Hopkins,25-34,Beauty Manufacturing & Education ,Corporate Educator,35360,8 - 10 years,Man,Minnesota,Office Supplies,Paper,Xerox 1999,12.96
93,Maria Bertelson,35-44,"Beauty, Cosmetics, Fragrance","Director, Brand Operations",105000,11 - 20 years,Woman,Minnesota,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
94,Bruce Stewart,45-54,Beauty/service industry ,Senior hair stylist,72800,21 - 30 years,Woman,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
95,Logan Currie,45-54,Beer sales,Sales and Business Development,60000,21 - 30 years,Woman,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682000000000001
96,Heather Kirkland,25-34,Behavior analysis/mental health,Clinical Manager,90000,5-7 years,Woman,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
97,Laurel Elliston,35-44,Behavioral Health,Case Manager,53560,21 - 30 years,Woman,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
98,Joseph Holt,35-44,Benefits Administration,Team Leader,108000,11 - 20 years,Man,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
99,Michael Stewart,25-34,Beverage,Associate Production Planning Manager,67000,5-7 years,Woman,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
100,Victoria Wilson,35-44,Beverage & Spirits,"Sr. Manager, OD & Change Management",103000,11 - 20 years,Woman,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.97600000000001
101,Jonathan Howell,35-44,Beverage Distribution,Inventory Management Admin,40000,11 - 20 years,Woman,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.7879999999999996
102,Joni Blumstein,35-44,Beverage Production,Brewmaster,52600,11 - 20 years,Woman,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
103,David Smith,45-54,Big Pharma,"Director, Biostatistics ",220000,21 - 30 years,Woman,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.89600000000002
104,Valerie Dominguez,55-64,Bio tech,Project manager senior ,107250,41 years or more,Woman,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.35999999999999
105,Erin Ashbrook,35-44,Bioinformatics ,Program Manager ,110000,11 - 20 years,Woman,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882000000000005
106,David Bremer,25-34,biological research,graduate student,34000,2 - 4 years,Man,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11200000000001
107,Ken Lonsdale,25-34,Biological Sciences,Research Associate 2,78000,2 - 4 years,Woman,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.992000000000004
108,Dianna Wilson,25-34,Biology/Research,Lab tech,40000,8 - 10 years,Woman,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.3040000000000003
109,Logan Haushalter,45-54,Biomedical Research,Research Tech II,45760,21 - 30 years,Woman,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96000000000004
110,Kelly Collister,55-64,Biopharma,RIM Manager,114000,21 - 30 years,Woman,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
111,Delfina Latchford,25-34,Biopharmaceuticals,Medical Affairs Project Manager,150000,5-7 years,Woman,Iowa,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
112,Dan Reichenbach,35-44,Bioscience Company,Customer Service Representative,47500,11 - 20 years,Woman,Iowa,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.240000000000002
113,Craig Carreira,35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,11 - 20 years,Woman,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096000000000004
114,Dorris liebe,35-44,Biotech ,Senior Principal Research Associate ,123000,11 - 20 years,Woman,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.720000000000001
115,Sean Braxton,45-54,Biotech / life sciences ,"Director, Sales Enablement",196000,21 - 30 years,Man,Ohio,Office Supplies,Paper,Xerox 1921,23.976000000000003
116,Roy Collins,25-34,Biotech / Pharmaceutical Industry,Clinical Biosample Manager,160000,5-7 years,Woman,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
117,Alan Hwang,25-34,Biotech / Research,Principal Research Associate,100000,8 - 10 years,Woman,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53
118,Claudia Bergmann,35-44,Biotech manufacturing,Senior Technical Specialist,92000,21 - 30 years,Woman,Tennessee,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79400000000004
119,Christine Abelman,25-34,Biotech R&D,Manager of Workplace Operations,130000,5-7 years,Woman,Delaware,Furniture,Furnishings,Artistic Insta-Plaque,47.04
120,Kristen Hastings,35-44,Biotech Research,Bioinformaticist,48500,11 - 20 years,Woman,Delaware,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
121,Barry Blumstein,35-44,Biotech research ,Senior Associate Scientist ,112000,11 - 20 years,Woman,Delaware,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
122,Andrew Gjertsen,25-34,Biotech/Drug Development,Nonclinical Manager,90000,8 - 10 years,Woman,Delaware,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
123,Jas O'Carroll,25-34,Biotech/Food Safety,Research Leader,66089,11 - 20 years,Woman,Delaware,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
124,Alan Haines,35-44,Biotech/Pharma,Senior Manager Regulatory Affairs Labeling,145000,2 - 4 years,Woman,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
125,Nick Zandusky,25-34,Biotech/Pharmaceuticals,Scientist II,90000,2 - 4 years,Woman,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
126,Kelly Lampkin,35-44,Biotech/pharmaceuticals ,Principal scientist,156000,11 - 20 years,Woman,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.3880000000000003
127,Alan Schoenberger,25-34,Biotech/software,field engineering manager,105000,5-7 years,Woman,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002
128,Corey Roper,18-24,Biotechnology,Downstream Process Development Research Associate I,52000,2 - 4 years,Woman,California,Furniture,Chairs,"Global Task Chair, Black",81.424
129,Shahid Hopkins,35-44,Biotechnology ,Senior Principal Scientist,200000,11 - 20 years,Woman,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
130,Ben Peterman,25-34,Biotechnology/Life Sciences,Scientist,84000,5-7 years,Woman,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.96999999999999
131,Thomas Seio,35-44,Bitech,"Associate Director, Market Access",175000,11 - 20 years,Woman,Ohio,Office Supplies,Paper,Xerox 1916,78.304
132,Andy Gerbode,25-34,Book publishing,Senior Editor ,74000,11 - 20 years,Woman,Ohio,Office Supplies,Fasteners,Staples,21.456
133,Sung Pak,25-34,Brain research ,Graduate research assistant ,28000,11 - 20 years,Woman,California,Office Supplies,Paper,Xerox 195,20.04
134,Nathan Mautz,25-34,Brewing,Head Brewer,57000,8 - 10 years,Woman,California,Office Supplies,Paper,Xerox 1880,35.44
135,Frank Atkinson,35-44,Business or Consulting,Executive Assistant,85000,8 - 10 years,Woman,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
136,Grace Kelly,25-34,Business Process Outsourcing ,Onboarding Coordinator,53680,2 - 4 years,Woman,California,Office Supplies,Fasteners,Ideal Clamps,4.02
137,Don Jones,35-44,Business Services,Representative,50000,11 - 20 years,Man,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176
138,Patrick O'Brill,55-64,CALL CENTER,Customer Service Rep,25480,21 - 30 years,Woman,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
139,John Lucas,55-64,"Cancer research, not for profit",Administrative Coordinator,71700,31 - 40 years,Woman,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.120000000000005
140,Doug Bickford,35-44,Cannabis,General Manager,42000,11 - 20 years,Woman,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80000000000001
141,Alyssa Crouse,25-34,Cannabis compliance,Senior Project Manager,100000,11 - 20 years,Woman,California,Office Supplies,Art,Newell 343,8.82
142,Clay Cheatham,45-54,Career & Technical Training,Employment Specialist,46800,11 - 20 years,Woman,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
143,Tamara Dahlen,25-34,Caregiver,Care Professional,33280,11 - 20 years,Woman,California,Office Supplies,Paper,Xerox 1911,143.7
144,Adam Bellavance,25-34,CBD Manufacturing,HR Generalist,60000,5-7 years,Woman,Missouri,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.4300000000001
145,Jeremy Lonsdale,35-44,Chaplain,Chaplain resident ,40000,11 - 20 years,Woman,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
146,Victoria Brennan,25-34,Chemical Manufacturing,Sr. Quality Lab Technician,47902,11 - 20 years,Woman,Ohio,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
147,Katrina Willman,35-44,Chemicals ,Engineering Manager,102000,11 - 20 years,Woman,Wisconsin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45000000000005
148,Julia Dunbar,25-34,Chemicals/ Materials,Scientist,109400,5-7 years,Man,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
149,Michael Kennedy,35-44,Chemistry,Principal Chemist,107000,8 - 10 years,Woman,Wisconsin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
150,Guy Thornton,35-44,Child care,Lead Teacher,40700,11 - 20 years,Woman,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
151,Arthur Gainer,25-34,Child Care Resource and Referral Agency,Registration and enrollment of Childcare Programs/Employees,3200,5-7 years,Man,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
152,Muhammed MacIntyre,25-34,Childcare,Program Director,47500,5-7 years,Woman,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184
153,Allen Rosenblatt,35-44,Childcare ,Newborn Care Specialist/ Postpartum Doula,90000,11 - 20 years,Woman,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.379999999999995
154,Russell Applegate,35-44,Children's Book Wholesale,Collection Development Specialist,55000,11 - 20 years,Woman,California,Office Supplies,Paper,Xerox 1883,105.52
